team,match,Ci,Co,weight_centralization,network_intensity,possession_minutes,possession_percentage,goal_scored,I_normalized_minutes,I_normalized_percentage
Russia,Russia_Denmark,0.0754601226993865,0.0687116564417178,0.03422074632746102,163,15.429828950733334,36.14511798275738,1.0,10.563953788499585,4.509599334487089
Scotland,Croatia_Scotland,0.07004830917874397,0.05410628019323672,0.02450915215175287,207,21.1972313668,37.93733154888865,1.0,9.765426268083866,5.4563668963708105
Scotland,England_Scotland,0.03230240549828179,0.05120274914089347,0.02269932847819919,291,22.7421081855,41.13543802777882,0.0,12.795647511057787,7.07419232544667
Scotland,Scotland_Czech Republic,0.1051446945337621,0.1192926045016077,0.03539927431487654,311,29.5662895355,57.0379860905548,0.0,10.518736198757198,5.45250667697575
Slovakia,Poland_Slovakia,0.03475783475783475,0.05669515669515669,0.02300112391855511,351,23.76738650375,43.56922311745978,2.0,14.768136157697418,8.056145482643263
Slovakia,Slovakia_Spain,0.07170731707317073,0.07707317073170732,0.02613560080554934,205,19.663388550166665,35.3641570848811,0.0,10.425466570880655,5.7968298101368205
Slovakia,Sweden_Slovakia,0.09555555555555556,0.1044444444444445,0.01467889908256881,495,33.62819836801667,58.422844425752004,0.0,14.719789463083098,8.472713111890366
Spain,Croatia_Spain,0.09636048526863085,0.1001733102253033,0.04164215413480037,577,49.50347670343333,64.21514571412284,5.0,11.655746998472575,8.98541914969291
Spain,Italy_Spain,0.09827586206896552,0.09827586206896552,0.05616749590175721,638,49.10302138836666,68.8603799093716,1.0,12.99309048528637,9.265124601979881
Spain,Slovakia_Spain,0.06270833333333334,0.085625,0.04489678899082569,480,35.93920506735,64.6358429151189,5.0,13.355888064315304,7.426220164411652
Spain,Spain_Poland,0.0612565445026178,0.0612565445026178,0.04808107978289063,573,36.74059245341667,68.88053047032666,1.0,15.595829074517665,8.318751265233724
Spain,Spain_Sweden,0.05997229916897507,0.06759002770083103,0.04152583293095123,722,45.836468756049996,79.18280740041122,0.0,15.751649714610762,9.118140966497867
Spain,Switzerland_Spain,0.1115384615384615,0.1115384615384615,0.06598447424135498,702,51.751494755066666,68.53401947395147,1.0,13.564825582767762,10.243088109939581
Sweden,Spain_Sweden,0.09775280898876404,0.03595505617977528,0.01546232347180703,89,12.050426468900001,20.81719259958878,0.0,7.38563072682059,4.275312320536348
Sweden,Sweden_Poland,0.1033613445378151,0.05714285714285714,0.0134145401279778,119,17.072880285066667,37.2672269352952,3.0,6.970118574783606,3.193154140677341
Sweden,Sweden_Slovakia,0.09143646408839778,0.09751381215469614,0.01784175579096761,362,23.93181723641667,41.577155574247996,1.0,15.126306390521414,8.706704318758522
Sweden,Sweden_Ukraine,0.08473282442748091,0.08893129770992367,0.03345822536592198,524,36.186233068683336,45.55232799923895,1.0,14.48064513942142,11.5032540161011
Switzerland,France_Switzerland,0.09674796747967479,0.07886178861788617,0.03063076502324656,369,30.169577017016664,44.321352922882994,3.0,12.230864217680994,8.325558126396595
Switzerland,Italy_Switzerland,0.1158602150537634,0.1040322580645161,0.04076649896419059,372,29.382196783816667,49.98444011833425,0.0,12.660727948187073,7.442316031135272
Switzerland,Switzerland_Spain,0.04325581395348837,0.07395348837209302,0.02457862171965009,215,23.760630686133332,31.465980526048533,1.0,9.048581363013806,6.832776109488029
Switzerland,Switzerland_Turkey,0.04702970297029703,0.06608910891089109,0.0347443001180852,404,27.2852331172,48.825480357635676,3.0,14.80654382774276,8.2743681586088
Switzerland,Wales_Switzerland,0.07532751091703056,0.07052401746724891,0.04519049717559392,458,31.482516418366668,59.78811531657116,1.0,14.547757044376738,7.660385305255785
Turkey,Switzerland_Turkey,0.04117647058823529,0.05588235294117647,0.01844674483638326,374,28.59795106725,51.174519642364324,1.0,13.077859987959064,7.308324584455655
Turkey,Turkey_Italy,0.09465020576131687,0.07654320987654321,0.02820251444104655,243,21.560404584633332,38.678140921214656,0.0,11.270660485341379,6.282618404410343
Turkey,Turkey_Wales,0.07133956386292835,0.05763239875389408,0.03232444482551659,321,29.131143066899998,58.13729068724376,0.0,11.019135063214646,5.521413127537305
Ukraine,Netherlands_Ukraine,0.05821917808219178,0.07705479452054795,0.02450672363956265,292,24.14068050306667,37.4179824623264,2.0,12.09576507020613,7.803734482317286
Ukraine,Sweden_Ukraine,0.07632058287795992,0.08032786885245902,0.0373656857338614,549,43.25258961736667,54.44767200076105,2.0,12.692881625278847,10.083075728055485
Ukraine,Ukraine_Austria,0.07971830985915493,0.08591549295774648,0.03217469957358832,355,26.029325852916667,48.987516119577975,0.0,13.638463093742443,7.246744234458612
Ukraine,Ukraine_England,0.1317073170731707,0.1170731707317073,0.0316930775646372,451,31.346997916933333,49.11294861120567,0.0,14.387342647455702,9.18291433834008
Ukraine,Ukraine_North Macedonia,0.05549738219895288,0.07565445026178011,0.03160574475238964,382,26.853479818666663,51.07483751327832,2.0,14.22534444621439,7.479221052846003
Wales,Italy_Wales,0.05172413793103448,0.0354679802955665,0.02530844669408415,203,16.20086358398333,32.98551404856258,0.0,12.530196242173906,6.154216657079692
Wales,Turkey_Wales,0.07131147540983607,0.04426229508196721,0.0159798465934727,244,20.976357166666666,41.86270931275624,2.0,11.632143658753968,5.828576410978954
Wales,Wales_Denmark,0.06041666666666667,0.05583333333333333,0.03111620795107034,240,24.393581703716666,49.88200356207255,0.0,9.838653581709693,4.811354453742961
Wales,Wales_Switzerland,0.0364,0.0364,0.0308256880733945,250,21.174297150133334,40.21188468342885,1.0,11.806767338127479,6.217067465704336
